
1 ,2025-06-02,"₩5,000.00",₩425.75,₩100.00,₩525.75,₩509.08,₩16.67,"₩4,490.92",₩16.67
2 ,2025-07-02,"₩4,490.92",₩425.75,₩100.00,₩525.75,₩510.78,₩14.97,"₩3,980.14",₩31.64
3 ,2025-08-02,"₩3,980.14",₩425.75,₩100.00,₩525.75,₩512.48,₩13.27,"₩3,467.65",₩44.90
4 ,2025-09-02,"₩3,467.65",₩425.75,₩100.00,₩525.75,₩514.19,₩11.56,"₩2,953.46",₩56.46
5 ,2025-10-02,"₩2,953.46",₩425.75,₩100.00,₩525.75,₩515.90,₩9.84,"₩2,437.56",₩66.31
6 ,2025-11-02,"₩2,437.56",₩425.75,₩100.00,₩525.75,₩517.62,₩8.13,"₩1,919.94",₩74.43
7 ,2025-12-02,"₩1,919.94",₩425.75,₩100.00,₩525.75,₩519.35,₩6.40,"₩1,400.59",₩80.83
8 ,2026-01-02,"₩1,400.59",₩425.75,₩100.00,₩525.75,₩521.08,₩4.67,₩879.50,₩85.50
9 ,2026-02-02,₩879.50,₩425.75,₩100.00,₩525.75,₩522.82,₩2.93,₩356.69,₩88.43
10 ,2026-03-02,₩356.69,₩425.75,₩0.00,₩356.69,₩355.50,₩1.19,₩0.00,₩89.62
